r_mse,r_acc,accuracy,r2,rmse,mae,re
0,0,0.6551724137931034,0.9204209284934987,0.07353386539042962,0.05439680215941714,0.007681118040517468
0,0.01,0.7844827586206896,0.9540546594813879,0.055873863078839375,0.043257851168996914,0.006119317635814056
0,0.1,0.5258620689655172,0.8416251344344658,0.10373638067212951,0.0891527587988642,0.012711414674877753
0,0.5,0.6293103448275862,0.9179158349212257,0.07468229483398216,0.05753896881212022,0.008166693081294654
0,1.0,0.46551724137931033,0.620920632637862,0.16049186931663614,0.14747963394173033,0.021214520010745443
0.0001,0,0.7327586206896551,0.9606669435372089,0.05169717476489241,0.040966960548144665,0.005810234034688409
0.0001,0.01,0.75,0.9531877604997796,0.056398515273442786,0.04297807948292035,0.006088272831326233
0.0001,0.1,0.5,0.8827926122182576,0.08924121106781148,0.07745748224074873,0.011161566803347414
0.0001,0.5,0.45689655172413796,0.7785576133311529,0.12266434345812759,0.10595138757202034,0.015250815173524146
0.0001,1.0,0.4396551724137931,-6.577353885971148,0.7175410424554749,0.7128824766584645,0.1020148738781087
0.001,0,0.646551724137931,0.9384947547923644,0.0646463544437881,0.05010330615859743,0.00710916441702824
0.001,0.01,0.646551724137931,0.9432534760539734,0.062095137588905364,0.048776610364685745,0.006949638375896587
0.001,0.1,0.6379310344827587,0.940028340384379,0.06383531350319087,0.049984247802101145,0.007097751585112191
0.001,0.5,0.47413793103448276,0.4795928608371033,0.18804404504363473,0.1737489019530173,0.025087677827024178
0.001,1.0,0.4396551724137931,-16.95063904952274,1.104403868023573,1.087010289000961,0.1561948043862664
0.01,0,0.5,0.869131168149997,0.09429878017320538,0.0759067171024791,0.01089635238982366
0.01,0.01,0.5689655172413793,0.8862439548370924,0.08791747455365607,0.06541621524205246,0.00930594880752712
0.01,0.1,0.5086206896551724,0.8628356519358349,0.09654028659017774,0.07386094034009727,0.010518886014357158
0.01,0.5,0.5689655172413793,0.8847291747357753,0.08850089508841924,0.06677659060373511,0.00943489331058609
0.01,1.0,0.4827586206896552,0.8173984444498628,0.11138845966675215,0.09102388239971926,0.013124758004743255
