Method,Stock,ACC,R2,RMSE,MAE,MAPE,r_mse,r_acc
60,15,0.5697674418604651,0.453259899359281,0.06230815074660572,0.04918513763782585,0.006846016104058502,0.0,0.1
60,1,0.686046511627907,0.695008541177102,0.0488989431917086,0.03731024853018825,0.006558433851647404,0.0,0.1
60,11,0.5697674418604651,0.918018945138163,0.11567362135129804,0.0915761845610863,0.012048696427020276,0.0,0.1
60,13,0.7325581395348837,0.8560890366712463,0.10210936319478649,0.07729506381722386,0.007843617467284143,0.0,0.1
60,4,0.5697674418604651,0.9145747810871302,0.10267536638090263,0.08338235367176133,0.014429609088044392,0.0,0.1
60,19,0.45348837209302323,0.4378046019530607,0.38313157496288336,0.2919047439930051,0.035004919247297865,0.0,0.1
60,7,0.7209302325581395,0.9663404970943577,0.06410472456102023,0.049582648831744534,0.010627874547764492,0.0,0.1
60,5,0.5,0.9254914890714795,0.5622087372051858,0.4909702238925666,0.016066210068805466,0.0,0.1
60,6,0.5116279069767442,0.9841464646731422,0.18873036717334565,0.1599724729671035,0.01400717062008087,0.0,0.1
60,8,0.5697674418604651,0.6751614288963967,0.31201281061976,0.2512168023752612,0.017346070776408744,0.0,0.1
60,14,0.5232558139534884,0.7096963183342717,0.3221057375504701,0.2539690558854925,0.009586074396918026,0.0,0.1
60,2,0.7441860465116279,0.8248257243530592,0.031942211721103696,0.023784342144810892,0.006303267193913585,0.0,0.1
60,3,0.6395348837209303,0.8544052654469789,0.03753679471581729,0.02883556099825128,0.005742387273461699,0.0,0.1
60,12,0.6744186046511628,0.9597332198706504,0.045666787984276015,0.040574827748675706,0.010597533108815818,0.0,0.1
60,21,0.45348837209302323,-0.5951406728649513,0.09524504446040086,0.08730946751528008,0.0244348969875004,0.0,0.1
60,0,0.7325581395348837,0.928231547813717,0.048130823585407094,0.03742699002110683,0.005442455863294848,0.0,0.1
60,10,0.6395348837209303,0.9605978159597257,0.32703232063726834,0.2430941648261493,0.009911031655439356,0.0,0.1
60,18,0.5930232558139535,0.49168987396312425,0.04504945734916314,0.0344638132494549,0.00762517645388152,0.0,0.1
60,9,0.7093023255813954,0.9502491118946202,0.28242411326131395,0.21420358524766078,0.010502253462138903,0.0,0.1
60,22,0.6511627906976745,0.957774040977766,0.8148826086405564,0.618979059263717,0.01401537249080287,0.0,0.1
60,17,0.5232558139534884,0.9126557333168255,0.22172981215304816,0.13593994362409728,0.008855183764550963,0.0,0.1
60,20,0.6744186046511628,0.829432833820079,0.1072429666435398,0.08528512777284121,0.005763182867071471,0.0,0.1
60,23,0.4418604651162791,0.5301952766509803,0.07414857450404454,0.06263498927271646,0.010932085688723385,0.0,0.1
60,26,0.5697674418604651,0.9642923118416925,0.5018811340219153,0.4051565871127817,0.015315614697005802,0.0,0.1
60,25,0.5930232558139535,0.7631640653691636,0.039613954918727684,0.03022145981012389,0.00637613156062868,0.0,0.1
60,16,0.7325581395348837,0.9128300431763612,0.26321975486989446,0.20638207901355834,0.006748935912567432,0.0,0.1
60,27,0.6046511627906976,0.9754126687696508,0.5422987321981643,0.4245673077605491,0.012803995352924018,0.0,0.1
60,30,0.6046511627906976,0.9439697344306448,0.22735890626426164,0.17321006464403732,0.011132884833634931,0.0,0.1
60,24,0.5348837209302325,0.9667620765360301,0.7200261867677771,0.6103571976062863,0.017371665131176117,0.0,0.1
60,31,0.46511627906976744,0.7950077577527519,0.14294991333349966,0.12351616881614512,0.022587436502110748,0.0,0.1
60,28,0.6976744186046512,0.9775050643905019,0.05125461234964785,0.03796982365985252,0.007239865173244732,0.0,0.1
60,34,0.5581395348837209,0.814804092746946,0.2077665394520415,0.18122520934703734,0.02404903117526514,0.0,0.1
60,29,0.43023255813953487,0.7183627377288005,0.0921660729217709,0.07674562210260429,0.015131530843047117,0.0,0.1
60,32,0.8255813953488372,0.9737238635698595,0.11715693325362375,0.07858980932901069,0.009170239674321368,0.0,0.1
60,39,0.5697674418604651,0.8612534655144808,0.0657345253380948,0.05300642856331756,0.009693526296042166,0.0,0.1
60,38,0.6046511627906976,0.7756552666656622,0.05166740101036019,0.04021420245946839,0.009808403523265712,0.0,0.1
60,37,0.686046511627907,0.8429846624340567,0.04386580132211013,0.03657546287359195,0.009337714086538645,0.0,0.1
60,36,0.6744186046511628,0.8164914551790289,0.06398419632983705,0.05010510466819586,0.0069128678220589605,0.0,0.1
60,33,0.627906976744186,0.9477740915992585,0.01884312726146925,0.015037320491879468,0.005041107482970514,0.0,0.1
60,35,0.7558139534883721,0.951570933995729,0.19148000837417276,0.14230688937874736,0.01709702026877026,0.0,0.1
