Method,Stock,ACC,R2,RMSE,MAE,MAPE,r_mse,r_acc
60,1,0.6744186046511628,0.7328252146538502,0.04576709732557138,0.03337439049121945,0.005890722888273786,0.0,0.1
60,4,0.6511627906976745,0.9477044683883387,0.08033513024514616,0.06327768037485519,0.011106334329870486,0.0,0.1
60,13,0.6511627906976745,0.8578273213840766,0.10149080575915632,0.07907312836757933,0.00803958634290338,0.0,0.1
60,15,0.686046511627907,0.6372959441987355,0.05074936397301982,0.03967333571855408,0.005476925286807574,0.0,0.1
60,11,0.627906976744186,0.9472386376084864,0.09279735156839915,0.07285608579946119,0.009591928111981833,0.0,0.1
60,12,0.6511627906976745,0.9723803238176459,0.037821287231401636,0.029864699895991775,0.00795821777833961,0.0,0.1
60,10,0.6162790697674418,0.8962858569572519,0.5305783443327049,0.430034153960472,0.017817589887806646,0.0,0.1
60,6,0.5930232558139535,0.9860968497669582,0.17674019518929365,0.14112442371457118,0.01238322770702558,0.0,0.1
60,0,0.4069767441860465,0.33866486878772906,0.14610574732397513,0.13952244913855263,0.020230621902046636,0.0,0.1
60,3,0.6744186046511628,0.8356595024869543,0.039880137726091024,0.030853664043337815,0.006140460978826288,0.0,0.1
60,2,0.5813953488372093,-0.8781800276186409,0.10459199040802301,0.10093479300654207,0.026563198587389442,0.0,0.1
60,9,0.8023255813953488,0.9780756718344428,0.18748412575194384,0.14335747208706165,0.006975838038252111,0.0,0.1
60,18,0.6744186046511628,0.6532576934347838,0.037207338059224764,0.030400547870369825,0.00668267510330583,0.0,0.1
60,17,0.6395348837209303,0.8812174446188226,0.25857302703638047,0.17441253307253823,0.011097381255364934,0.0,0.1
60,22,0.6046511627906976,0.9468423793252119,0.9142986005930394,0.7099643689532612,0.01556644064119014,0.0,0.1
60,7,0.6162790697674418,0.9737374906910491,0.05662448944563719,0.0463554233728453,0.009746251039468998,0.0,0.1
60,8,0.6046511627906976,0.8315531599877902,0.2246829224093803,0.17880897433258777,0.012267249840540013,0.0,0.1
60,21,0.5697674418604651,0.743143359199287,0.03821978975684898,0.03159340425979259,0.008822531907892096,0.0,0.1
60,5,0.6627906976744186,0.9743346146508867,0.32996550705829386,0.25196363670881416,0.00823115144166583,0.0,0.1
60,19,0.627906976744186,0.9029908237820737,0.1591514904330901,0.1020762084251226,0.012181580972282398,0.0,0.1
60,14,0.627906976744186,0.7001179095721848,0.3273764641648428,0.266745193836301,0.00997166037753394,0.0,0.1
60,16,0.627906976744186,0.9321656310837194,0.23219879380546637,0.18729216730871875,0.006135230042889086,0.0,0.1
60,24,0.46511627906976744,0.8092883484124567,1.7247254169801916,1.5171523320397668,0.045911483957583744,0.0,0.1
60,23,0.5465116279069767,0.6748832045573113,0.06168276306500216,0.04812311970910361,0.008417285428286469,0.0,0.1
60,26,0.6162790697674418,0.9694775249011984,0.4640127114022207,0.363921618794286,0.013644975555046951,0.0,0.1
60,30,0.5813953488372093,0.8737753518950705,0.3412500433491238,0.2875804111569426,0.01875801565903792,0.0,0.1
60,20,0.7441860465116279,0.8799421049577657,0.08997388317669269,0.07050730594368856,0.004760955813177553,0.0,0.1
60,29,0.6162790697674418,0.8381514148836013,0.06986834880679932,0.053606428102005346,0.010532332078979011,0.0,0.1
60,25,0.6744186046511628,0.8458319418349849,0.03196109171076445,0.024400864312815084,0.005143706798559101,0.0,0.1
60,27,0.5697674418604651,0.9741424236200152,0.5561306119653368,0.45035116151321747,0.013678342581463693,0.0,0.1
60,34,0.5465116279069767,0.4692142896861602,0.3517381905208169,0.33370951630348383,0.044336553094519185,0.0,0.1
60,31,0.7093023255813954,0.9680126517107634,0.056468246649491835,0.04395497322082516,0.007936098361289872,0.0,0.1
60,28,0.6395348837209303,0.9688336250094006,0.06033005509050937,0.04700125361597818,0.00892611503016685,0.0,0.1
60,38,0.7441860465116279,0.8520146504168112,0.04196314581898194,0.0321812570926755,0.00788932687188166,0.0,0.1
60,32,0.7558139534883721,0.9661902309463504,0.13289490864168782,0.08797413981238077,0.010204241414597364,0.0,0.1
60,33,0.7674418604651163,0.9660646076953033,0.015189253033925827,0.011877768760503709,0.00397389245245762,0.0,0.1
60,39,0.5465116279069767,0.8186298413580853,0.07515629726454041,0.06223342385402942,0.011424597916742281,0.0,0.1
60,36,0.6976744186046512,0.8377364221803152,0.0601665483574836,0.04643833271292754,0.006408386896108094,0.0,0.1
60,37,0.5930232558139535,0.8530438796595725,0.042437409715869415,0.0337894538391468,0.008726070356706457,0.0,0.1
60,35,0.7906976744186046,0.9605751757957621,0.1727648048185259,0.12629995545675585,0.015111222260614956,0.0,0.1
