Method,Stock,ACC,R2,RMSE,MAE,MAPE,r_mse,r_acc
60,13,0.7209302325581395,0.8121929666745151,0.11664726320902118,0.08642521969107698,0.008713043252701315,0.0,0.1
60,1,0.6511627906976745,0.6739835331432854,0.05055631403582103,0.039085221179696,0.0068625230620230765,0.0,0.1
60,15,0.6511627906976745,0.592492467125407,0.053792560670198636,0.04264299082201577,0.00589099823272998,0.0,0.1
60,4,0.627906976744186,0.959148610826467,0.0710029880657232,0.056171181257380964,0.009738802091858898,0.0,0.1
60,12,0.5813953488372093,0.9493327138046251,0.05122604613470699,0.042345059195230184,0.011085644337887834,0.0,0.1
60,7,0.627906976744186,0.9630939246926993,0.06712512714767674,0.054440026615941224,0.011536902913752013,0.0,0.1
60,10,0.6511627906976745,0.880306196113739,0.5699888538670538,0.4777139965323517,0.01927131133221815,0.0,0.1
60,2,0.7441860465116279,0.8678538816378082,0.027743230118179397,0.021000332056089907,0.005558517762367612,0.0,0.1
60,5,0.6627906976744186,0.9602042019940079,0.4108783495480331,0.3329507712430732,0.011058014873079764,0.0,0.1
60,3,0.45348837209302323,-3.351650789800395,0.205216071356868,0.20009552378987153,0.03982691463649304,0.0,0.1
60,9,0.4069767441860465,-2.386913582749994,2.3302548086620125,2.2899096901472227,0.11114623867862362,0.0,0.1
60,11,0.7093023255813954,0.9611102804309284,0.079670031112612,0.06232334314390672,0.008084755762020819,0.0,0.1
60,22,0.6046511627906976,0.9275836531026839,1.0671453946985006,0.8513076214457667,0.018672996055070994,0.0,0.1
60,0,0.7441860465116279,0.9482956581885345,0.04085262900797092,0.03259579059689542,0.004720440384884794,0.0,0.1
60,16,0.6162790697674418,0.9085277453374719,0.26963716787099096,0.22362846019656166,0.00728718515916337,0.0,0.1
60,21,0.6511627906976745,0.8539549025304383,0.02881949629054685,0.023302145558734288,0.006492162182946622,0.0,0.1
60,8,0.6511627906976745,0.8529063212414877,0.209959550703074,0.16861862493115812,0.011613317291570748,0.0,0.1
60,17,0.6511627906976745,0.8238412583299508,0.3148900858278063,0.2179875444811445,0.013882132980457436,0.0,0.1
60,14,0.47674418604651164,0.5509011822632005,0.40062970281357135,0.3526218485277752,0.013348040561816233,0.0,0.1
60,19,0.627906976744186,0.9257830279257567,0.13920534715347466,0.08975948577703431,0.01077542641406313,0.0,0.1
60,20,0.6976744186046512,0.8775705849346305,0.09085817087796068,0.07304286247075976,0.004933254437942503,0.0,0.1
60,6,0.5,0.9790969117617092,0.2167124936125086,0.18382876107859053,0.016333997693729677,0.0,0.1
60,18,0.6627906976744186,0.6429105094163128,0.037758411715618896,0.029551686353461684,0.006546749383198929,0.0,0.1
60,29,0.3953488372093023,-2.307822132900219,0.31586179606333487,0.2996272708094396,0.05915756185624837,0.0,0.1
60,26,0.6395348837209303,0.9742853212556587,0.42590285904671826,0.3436959182384402,0.012987430340151629,0.0,0.1
60,27,0.5697674418604651,0.971294681475141,0.5859547488612405,0.484873580932617,0.014905201468291012,0.0,0.1
60,24,0.627906976744186,0.9788738811959138,0.5740387483239149,0.42407667825388357,0.011886216291868906,0.0,0.1
60,23,0.5232558139534884,0.7078697146719566,0.05846990769640518,0.047342814512031046,0.008272603593060689,0.0,0.1
60,30,0.5232558139534884,0.9328408911945539,0.24891616033340355,0.199953161283981,0.013045979510800696,0.0,0.1
60,34,0.6046511627906976,0.9458789739645074,0.11231633527690198,0.08659203795499577,0.011525287047908893,0.0,0.1
60,31,0.43023255813953487,0.6583960682864236,0.18453409264758652,0.1672756099700928,0.030560765216501713,0.0,0.1
60,28,0.6627906976744186,0.9719617487989597,0.05722239582828846,0.04391724808271544,0.008363665673512273,0.0,0.1
60,32,0.5116279069767442,0.940269601586199,0.17663832858622394,0.1459046366048413,0.01776856561366958,0.0,0.1
60,38,0.686046511627907,0.8446582612839981,0.04299349566899517,0.03380279186160066,0.00826913121505466,0.0,0.1
60,25,0.7325581395348837,0.8742154615456503,0.02886941838166896,0.02345389920611715,0.004950548485157512,0.0,0.1
60,39,0.6511627906976745,0.9086911620124717,0.05332598264879022,0.04136813163757322,0.007540007819946523,0.0,0.1
60,35,0.6395348837209303,0.9348208700182102,0.22213892747471087,0.1634438459263291,0.019252089864234944,0.0,0.1
60,36,0.6627906976744186,0.7219742255790538,0.07875662616888239,0.0660110316165658,0.009065259687933844,0.0,0.1
60,33,0.8023255813953488,0.9585002812794468,0.016797032265777282,0.013191558593927422,0.004406975288372768,0.0,0.1
60,37,0.686046511627907,0.9125074397215518,0.032744667993541685,0.02677085455073868,0.006936285963398518,0.0,0.1
