Method,Stock,ACC,R2,RMSE,MAE,MAPE,r_mse,r_acc
60,0,0.5604395604395604,0.9378681803732999,2.130357637001856,1.7093428428807502,0.009371714493169632,0.0,0.1
60,10,0.6263736263736264,0.9572951693594095,1.6287887389382023,1.39396434817136,0.0073203535562138605,0.0,0.1
60,4,0.5604395604395604,0.9580071099562228,4.394800147517565,3.6006762970467014,0.016538847761565032,0.0,0.1
60,5,0.6263736263736264,0.9539827580742818,0.6242766047385931,0.452362941580636,0.008680512440921632,0.0,0.1
60,11,0.4175824175824176,0.7102891400872526,4.379243007912392,4.1273017625558035,0.02746469750678096,0.0,0.1
60,2,0.6703296703296703,0.9865247116557906,2.9462559183458463,2.275402352710765,0.010799272118269237,0.0,0.1
60,12,0.6043956043956044,0.8650165323627677,1.7404271304336743,1.5451374861510558,0.04182398498408496,0.0,0.1
60,14,0.5714285714285714,0.8997296987708551,2.6179100347714916,2.3488539832589286,0.015875932107660393,0.0,0.1
60,7,0.5054945054945055,0.8608720859941151,1.8793042127956463,1.609380261348515,0.019015985795533836,0.0,0.1
60,9,0.5164835164835165,0.9728484043838669,3.408933133763691,2.6334831917496575,0.008512717180960708,0.0,0.1
60,15,0.5494505494505495,0.8697893379479084,0.7252515888078901,0.5670892114499271,0.010018984265187061,0.0,0.1
60,3,0.5714285714285714,0.9060333493196777,5.4264672804531235,4.403475585679947,0.01704440111498341,0.0,0.1
60,6,0.7032967032967034,0.9592506328852711,1.9955232207858558,1.4194600690676502,0.009279128575113945,0.0,0.1
60,16,0.6373626373626373,0.9223239219678687,3.787195155110099,2.9296953963019425,0.010980501981352602,0.0,0.1
60,19,0.6153846153846154,0.9148523318679606,6.652000057097223,5.483956415028329,0.015872446757148453,0.0,0.1
60,8,0.6923076923076923,0.955336132800366,4.9757777065727105,3.924603144896119,0.011975096718497136,0.0,0.1
60,13,0.5934065934065934,0.8535082169510482,1.9440337086322144,1.5951013267728367,0.010220737490874477,0.0,0.1
60,17,0.45054945054945056,0.5930340208985321,4.35359041788112,4.149651856504336,0.04311932025943617,0.0,0.1
60,23,0.6043956043956044,0.9580803121811049,4.623220055598376,3.619016222634787,0.007000233377762616,0.0,0.1
60,26,0.4175824175824176,0.5333954712309544,1.29664840913282,1.1969918069880556,0.054133638399747955,0.0,0.1
60,21,0.6373626373626373,0.839977682911793,1.362246500761068,1.04472148976219,0.007037215483078119,0.0,0.1
60,24,0.6483516483516484,0.9396113557321645,2.3240021871494294,1.763896574830443,0.007314366918910814,0.0,0.1
60,25,0.5384615384615384,0.8850203441703365,0.7882318697674802,0.7363572889592102,0.02148235375490109,0.0,0.1
60,18,0.5824175824175825,0.8535599584916662,1.0278247054491776,0.7959327598675735,0.007592564443526262,0.0,0.1
60,1,0.5494505494505495,0.8284319170954892,3.6814199984719567,3.0573607944818852,0.011417578997955107,0.0,0.1
60,20,0.4835164835164835,0.9371526058131794,2.088248448270192,1.5994393416680974,0.015516494697768899,0.0,0.1
60,27,0.6043956043956044,0.7615378186111152,2.067345603929631,1.606570422261332,0.010120594148072275,0.0,0.1
60,22,0.7252747252747253,0.9618773051458434,1.7508336402878653,1.3379238241543607,0.007951260454214348,0.0,0.1
