Method,Stock,ACC,R2,RMSE,MAE,MAPE,r_mse,r_acc
60,5,0.47674418604651164,0.9389364999537125,0.5089621606608257,0.42885754607444593,0.014195562813210025,0.0,0.1
60,11,0.6046511627906976,0.9315636661720534,0.10568684881618488,0.08322007378866507,0.010799646623404475,0.0,0.1
60,2,0.627906976744186,0.659233773903555,0.04455106507356994,0.036720291736514074,0.00965821626716905,0.0,0.1
60,15,0.5930232558139535,0.653403068966243,0.04960971752732616,0.039475725750590475,0.005475993024976448,0.0,0.1
60,13,0.7325581395348837,0.8451450361643502,0.10592078557659522,0.07628091767776843,0.0076966374473513635,0.0,0.1
60,1,0.6162790697674418,0.6852861377948347,0.049672220067877464,0.03699164656705636,0.006536081650292222,0.0,0.1
60,0,0.6627906976744186,0.9257301964188687,0.04896239360062356,0.03967260582502498,0.005768144986843329,0.0,0.1
60,10,0.5697674418604651,0.9392995589514159,0.4059069167758147,0.3362957071703534,0.014241418754723442,0.0,0.1
60,19,0.6162790697674418,0.8859156503129257,0.17259067899770233,0.10384390076925586,0.012436296539744589,0.0,0.1
60,7,0.7325581395348837,0.9764685123136623,0.05359951770258461,0.03972995447558023,0.00841473696371223,0.0,0.1
60,6,0.5,0.9777886528723165,0.22339125718026862,0.18621516915254813,0.01667964385812828,0.0,0.1
60,20,0.6395348837209303,0.7745474956195092,0.12329589974461606,0.09521587194398383,0.00645406303190105,0.0,0.1
60,8,0.6162790697674418,0.21723732829087783,0.4843437315082531,0.44173508444497755,0.030121843894825143,0.0,0.1
60,14,0.47674418604651164,0.29655380979885015,0.5014038102798821,0.45670980675275935,0.017278704120906964,0.0,0.1
60,17,0.4883720930232558,0.8211364661143893,0.3172983334881132,0.25366192884223415,0.016980424448647717,0.0,0.1
60,22,0.5,0.9363942730649831,1.0001229618725418,0.8659297322118006,0.019966537225800877,0.0,0.1
60,18,0.4883720930232558,0.018247813138802305,0.06260746537115894,0.05170604661453601,0.011448635534861223,0.0,0.1
60,3,0.7674418604651163,0.9062962114709243,0.03011361723133938,0.02266281438428305,0.00451568747113001,0.0,0.1
60,9,0.4186046511627907,0.7622443787651796,0.6174001801025444,0.5590190399524777,0.02721948558954706,0.0,0.1
60,12,0.6162790697674418,0.9695537422659882,0.03970945936157155,0.03358259766600853,0.008854522491711703,0.0,0.1
60,21,0.5465116279069767,0.7944528726767441,0.03418996059400142,0.02706194866535275,0.00757787441789631,0.0,0.1
60,4,0.5232558139534884,0.4481157895014841,0.2609739720017143,0.20814427819362907,0.03503630768455971,0.0,0.1
60,26,0.7209302325581395,0.9684331552975911,0.4718843679896475,0.36770027160644514,0.013621659940823238,0.0,0.1
60,27,0.4186046511627907,0.8114928211824343,1.5015743468270935,1.3486258316040038,0.0426979195771567,0.0,0.1
60,30,0.5581395348837209,0.9343993239508298,0.2460111484581719,0.19266861494197396,0.0123641620242349,0.0,0.1
60,16,0.686046511627907,0.9253330730619359,0.24361229526975633,0.19325047249017768,0.006321663321215142,0.0,0.1
60,29,0.5348837209302325,0.77930792338084,0.08158670554611772,0.062091406001601054,0.0122550848137308,0.0,0.1
60,24,0.5930232558139535,0.9797963748997044,0.5613658644214528,0.42282340471134644,0.011921504167253126,0.0,0.1
60,23,0.6627906976744186,0.782257928558097,0.050479528746199015,0.036908386807109034,0.006430212190207072,0.0,0.1
60,28,0.6046511627906976,0.9605048382504049,0.0679145026168701,0.052773973997249195,0.010084391049662363,0.0,0.1
60,25,0.46511627906976744,0.39387533586067314,0.06337316282534844,0.05495399452919185,0.011645810293696175,0.0,0.1
60,39,0.6162790697674418,0.8753310117401965,0.062310563185164834,0.049127069074054085,0.008933899704673866,0.0,0.1
60,34,0.5465116279069767,0.3387104028071365,0.3926049394941273,0.36651382246682807,0.04843741771050926,0.0,0.1
60,38,0.6976744186046512,0.8418684946680677,0.04337783569258841,0.03373361676238301,0.008245725174911735,0.0,0.1
60,31,0.7093023255813954,0.9650386304706706,0.0590349774707494,0.04475389680197074,0.008072137198862418,0.0,0.1
60,35,0.7558139534883721,0.947406716537511,0.1995425572769762,0.1426243200967479,0.017064988595482847,0.0,0.1
60,32,0.7558139534883721,0.9632620555525104,0.13853026575997315,0.10707791661107267,0.012493074860871213,0.0,0.1
60,36,0.6976744186046512,0.8259055996673249,0.06232136757971027,0.046446815978649,0.0064296497527807795,0.0,0.1
60,37,0.5232558139534884,0.8556270010353226,0.04206278436372273,0.03602669948755308,0.0093420018287315,0.0,0.1
60,33,0.7558139534883721,0.9616167423791809,0.016154030381991955,0.01261912079744559,0.004222081015467251,0.0,0.1
